variable,predictor_classification,original_or_derived,source_columns,domain,timing,timing_raw,missing_%,raw_missing_pct,primary_missing_pct_for_modeling,effective_missing_pct_for_exclusion,structural_applicability_status,applicability_aware_missing_pct_sensitivity,structural_applicability_applicable_n,structural_applicability_genuine_missing_applicable_n,model_entry_mode,redundant_with,event_count_info,min_cell_count,p_value,fdr_q_value,effect_size,effect_size_type,test_status,test,included_in_bh,bh_family_n,effect_contrast,effect_estimate_status,target0_n,target1_n,redundancy_flag,high_target_association_review,impossible_flag,separation_flag,too_sparse_flag,clinical_priority_tier,primary_model_eligible,candidate_role_for_modeling_review,reason,priority_score,data_type,non_missing_count,n_unique,zero_variance_flag,hard_exclusion_reason,eligibility_status,rare_feature_flag,timing_uncertain,meets_quality_bar,redundancy_group,redundancy_demoted,redundancy_unresolved,redundancy_unresolved_group,soft_warning_flags,review_reason,physical_variable_type,physical_n_categories,model_representation_type,model_preprocessing_contract_id,hard_forbidden_with,relationship_groups,relationship_review_required,earliest_entry_stage,fold_safe_requirement,downstream_preprocessing_requirement
AB,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=0.0,-1,0.8976,1.0,-0.008,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.032,numeric,431,5,False,,eligible,False,False,False,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history); weak_univariate_signal,no FDR signal; include only with clinical justification,count,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,parity_obstetric_history,True,1,none,scale_within_training_fold_if_estimator_requires
endo_resection_uterus,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=0,0,0.3709,0.6987,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,—,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",1.0,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
SIPET,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,1.0,1.0,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,True,False,False,True,False,—,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",1.0,binary,431,2,False,,eligible,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,hypertension_spectrum,True,1,none,binary_passthrough_no_encoding
endo_resection_epiploica,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=0,0,1.0,1.0,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,—,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",1.0,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
meconium_stained_amniotic_fluid,intrapartum_predictor_exclude_from_prelabor_model,original,—,unknown,timing_unknown,unknown,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=6,6,0.4287,0.7388,0.698,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,review,horizon_specific_review,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",0.719,binary,431,2,False,,eligible,False,True,False,—,False,False,—,timing_uncertain; weak_univariate_signal,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,3,none,binary_passthrough_no_encoding
gestational_age_at_delivery_days,intrapartum_predictor_exclude_from_prelabor_model,original,—,unknown,timing_unknown,unknown,0.0,0.0,0.0,0.0,none,,,,direct,,med=275.0,-1,0.1611,0.4209,-0.112,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,True,False,False,False,False,—,review,horizon_specific_review,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",0.448,numeric,431,53,False,,eligible,False,True,False,—,False,False,—,timing_uncertain; weak_univariate_signal,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",continuous,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,,False,3,none,scale_within_training_fold_if_estimator_requires
weight_before_pregnancy,predictor_allowed,original,—,anthropometric,pre_pregnancy,pre_pregnancy,20.6,20.6,20.6,20.6,none,,,,direct,,med=60.0,-1,0.7623,1.0,-0.027,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,294,48,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,0.284,numeric,342,59,False,,eligible,False,False,False,anthropometry,False,True,anthropometry,redundancy_unresolved(family=anthropometry); weak_univariate_signal,high redundancy with another approved variable,continuous,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,prepregnancy_anthropometry,True,1,none,scale_within_training_fold_if_estimator_requires; median_impute_within_training_fold
Hb_before_delivery,secondary_near_delivery_predictor,original,—,unknown,timing_unknown,unknown,9.0,9.0,9.0,9.0,none,,,,direct,,med=12.0,-1,0.2109,0.5024,0.105,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,337,55,False,False,False,False,False,—,review,horizon_specific_review,secondary_near_delivery_predictor classification,0.06,numeric,392,133,False,,eligible,False,True,False,—,False,False,—,timing_uncertain; weak_univariate_signal,secondary_near_delivery_predictor classification,continuous,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,,False,2,none,scale_within_training_fold_if_estimator_requires; median_impute_within_training_fold
weight_in_pregnancy,secondary_near_delivery_predictor,original,weight_in_pregnancy,anthropometric,pregnancy,pregnancy,56.6,56.6,56.6,56.6,none,,,,transform_source_only,,med=75.0,-1,0.8288,1.0,0.028,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,163,24,True,False,False,False,False,—,yes,horizon_specific_review,secondary_near_delivery_predictor classification,-1.152,numeric,187,57,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal; high_missingness_diagnostic; fold_safe_representation_pending_modeling_stage,secondary_near_delivery_predictor classification,continuous,,fold_safe_quantile_categorical,FS_QUANTILE_CAT_V1,,pregnancy_anthropometry,True,2,training_fold_only,transform_source_only; training_fold_quantile_categorization
BMI_after,secondary_near_delivery_predictor,original,BMI_after,anthropometric,pregnancy,pregnancy,57.3,57.3,57.3,57.3,none,,,,transform_source_only,,med=27.7,-1,0.9516,1.0,-0.008,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,161,23,True,False,False,False,False,—,yes,horizon_specific_review,secondary_near_delivery_predictor classification,-1.26,numeric,184,159,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal; high_missingness_diagnostic; fold_safe_representation_pending_modeling_stage,secondary_near_delivery_predictor classification,continuous,,fold_safe_quantile_categorical,FS_QUANTILE_CAT_V1,,pregnancy_anthropometry,True,2,training_fold_only,transform_source_only; training_fold_quantile_categorization
gestational_age_at_PPROM_days,secondary_near_delivery_predictor,original,gestational_age_at_PPROM_days,obstetric,pregnancy,antepartum,96.3,96.3,96.3,96.3,applicability_linked_no_preprocessing_mask,5.9,17.0,1.0,transform_source_only,,med=248.0,-1,0.7432,1.0,0.117,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,10,6,True,False,False,False,False,—,yes,horizon_specific_review,secondary_near_delivery_predictor classification,-2.384,numeric,16,11,False,,eligible,False,False,False,pprom_timing_representation,False,True,pprom_timing_representation,redundancy_unresolved(family=pprom_timing_representation); weak_univariate_signal; high_missingness_diagnostic; fold_safe_representation_pending_modeling_stage,secondary_near_delivery_predictor classification,continuous,,fold_safe_pprom_timing_categorical,FS_PPROM_TIMING_CAT_V1,PPROM,pprom_timing,True,2,training_fold_only,transform_source_only; training_fold_gated_median_categorization
alcohol,predictor_allowed,original,—,demographics,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
HELLP,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
eclampsia,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.0,binary,431,1,True,zero_variance,hard_excluded,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
IUFD,predictor_allowed,original,—,fetal_placental,timing_unknown,unclear,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=61,61,,,,—,skipped_insufficient_data_or_zero_variance,none,False,81,—,not_applicable,370,61,False,False,False,False,False,—,review,horizon_specific_review,timing or eligibility requires clinical review,0.0,binary,431,1,True,zero_variance,hard_excluded,True,True,False,—,False,False,—,rare_feature; timing_uncertain; weak_univariate_signal,,binary,2.0,,,,,False,1,none,direct_as_is
